"gisaid_collect_weekstartdate","gisaid_country","owid_continent","all_lineages","owid_people_vaccinated_per_hundred","owid_population","gisaid_lagdays_q1","gisaid_lagdays_median","gisaid_lagdays_q3","sequences_over_new_cases","who_alpha","who_beta","who_gamma","who_delta","who_allvois","who_other","Africa","Asia","Europe","North America","Oceania","South America"
2021-03-01,"","North America",22149,10.76,588277210,18,28,58,0.043714585146633,5307,94,123,1,1516,15108,,,,506673,,
2021-03-01,"","Oceania",83,0.25,42376877,5.25,10,29,0.203931203931204,28,5,3,1,1,45,,,,,407,
2021-03-01,"","South America",830,3.15,430461090,51,79,113,0.0012987053628708,32,1,501,0,44,252,,,,,,639098
2021-03-08,"","Africa",675,0.4,1338832662,51,83,92,0.0094204010997446,98,373,0,13,40,151,71653,,,,,
2021-03-08,"","Asia",4286,1.19,4614068610,55,62,89,0.00694426441996111,1360,352,32,51,425,2066,,617200,,,,
2021-03-08,"","Europe",52525,9.19,750809055,13,19,48,0.0454521460941441,45470,1131,231,1,245,5447,,,1155611,,,
2021-03-08,"","North America",25068,13.04,588277210,21,29,62,0.0539067792054191,8028,116,284,3,2155,14482,,,,465025,,
2021-03-08,"","Oceania",89,0.47,42376877,4.75,11,19.25,0.126420454545455,43,3,2,0,3,38,,,,,704,
2021-03-08,"","South America",875,3.95,430461090,38,68,98,0.0013440364717737,43,2,567,0,73,190,,,,,,651024
2021-03-15,"","Africa",495,0.43,1338832662,55,80,93,0.00699083423955259,118,247,0,13,21,96,70807,,,,,
2021-03-15,"","Asia",4291,1.58,4614068610,48,54,75,0.00537420282449364,1632,378,17,178,502,1584,,798444,,,,
2021-03-15,"","Europe",54394,10.47,750809055,12,20,41,0.0412380356702868,47672,1330,328,3,432,4629,,,1319025,,,
2021-03-15,"","North America",29359,15.39,588277210,20,26,50,0.0630405654948509,11686,158,685,5,3236,13589,,,,465716,,
2021-03-15,"","Oceania",76,0.52,42376877,4,6,18,0.0744368266405485,28,4,1,1,3,39,,,,,1021,
2021-03-15,"","South America",1010,4.8,430461090,39,59,70,0.00135745207589367,49,2,718,0,53,188,,,,,,744041
2021-03-22,"","Africa",459,0.54,1338832662,40,71,84,0.00584140397317281,114,215,1,7,16,106,78577,,,,,
2021-03-22,"","Asia",4500,1.98,4614068610,41,51,68,0.00437499756944579,1634,434,11,240,590,1591,,1028572,,,,
2021-03-22,"","Europe",51866,11.89,750809055,12,20,35,0.0354847736208823,47283,1104,298,8,333,2840,,,1461641,,,
2021-03-22,"","North America",33608,17.86,588277210,18,24,45,0.0628753381551229,15790,222,1543,7,4800,11246,,,,534518,,
2021-03-22,"","Oceania",88,0.57,42376877,4,8.5,63,0.04,35,5,2,0,2,44,,,,,2200,
2021-03-22,"","South America",1429,6.1,430461090,37,47,69,0.00177074930328636,75,2,1076,0,62,214,,,,,,807003
2021-03-29,"","Africa",336,0.61,1338832662,44,73,81.25,0.0039148519696599,85,127,0,11,29,84,85827,,,,,
2021-03-29,"","Asia",7092,2.48,4614068610,36,54,73,0.0052953984092898,2879,656,21,662,622,2252,,1339276,,,,
2021-03-29,"","Europe",45256,13.52,750809055,12,19,35,0.0318636010318918,41164,1100,316,41,347,2288,,,1420304,,,
2021-03-29,"","North America",36440,20.57,588277210,17,22,33,0.0686170943936972,19479,241,1924,22,5332,9442,,,,531063,,
2021-03-29,"","Oceania",146,0.65,42376877,4,15,58,0.0748717948717949,50,7,0,6,5,78,,,,,1950,
2021-03-29,"","South America",1163,7.2,430461090,34,43,65,0.00153019671514263,80,1,782,0,134,166,,,,,,760033
2021-04-05,"","Africa",277,0.74,1338832662,42,63,72,0.00349398958109966,74,148,0,4,9,42,79279,,,,,
2021-04-05,"","Asia",6360,3.11,4614068610,49,53,68,0.00336164301888229,2241,273,15,1463,714,1654,,1891932,,,,
2021-04-05,"","Europe",39825,15.43,750809055,12,20,29,0.0324795539882364,36501,795,483,100,324,1622,,,1226156,,,
2021-04-05,"","North America",40930,23.38,588277210,17,22,33,0.0667575687392557,23784,313,2443,75,5797,8518,,,,613114,,
2021-04-05,"","Oceania",93,0.73,42376877,7,11,101,0.0602721970187946,35,7,2,4,11,34,,,,,1543,
2021-04-05,"","South America",2100,8.64,430461090,30,40,66,0.00230795607410078,108,4,1354,0,284,350,,,,,,909896
2021-04-12,"","Africa",301,0.87,1338832662,44,58,66,0.00369588173178458,74,132,0,7,16,72,81442,,,,,
2021-04-12,"","Asia",6377,3.57,4614068610,42,46,60,0.00247395116031685,2615,209,7,1662,399,1485,,2577658,,,,
2021-04-12,"","Europe",43763,17.59,750809055,12,19,27,0.0364924610209517,40296,853,471,234,403,1506,,,1199234,,,
2021-04-12,"","North America",38973,26.1,588277210,17,24,36,0.0654000473220264,23559,322,2959,187,5502,6444,,,,595917,,
2021-04-12,"","Oceania",102,0.97,42376877,5,7,22,0.0714285714285714,49,12,1,29,7,4,,,,,1428,
2021-04-12,"","South America",1629,10.05,430461090,26,39,53,0.00180524418448731,94,0,1046,0,257,232,,,,,,902371
2021-04-19,"","Africa",322,0.93,1338832662,28.25,46.5,54.75,0.00428738815509161,49,185,0,13,6,69,75104,,,,,
2021-04-19,"","Asia",6412,3.97,4614068610,36,39,52,0.00198119471726726,3049,202,6,1556,175,1424,,3236431,,,,
2021-04-19,"","Europe",42233,19.84,750809055,12,17,27,0.0391405809780836,38491,669,547,682,397,1447,,,1079008,,,
2021-04-19,"","North America",33834,28.14,588277210,18,22,36,0.0638400244537068,21344,244,2821,358,4348,4719,,,,529981,,
2021-04-19,"","Oceania",126,1.09,42376877,6,13,35,0.114130434782609,44,5,2,45,15,15,,,,,1104,
2021-04-19,"","South America",1727,11.08,430461090,25,37,46,0.00200127701637061,70,1,1259,1,175,221,,,,,,862949
2021-04-26,"","Africa",348,1.06,1338832662,24.75,44,52,0.0053659815274544,48,140,0,29,23,108,64853,,,,,
2021-04-26,"","Asia",7283,4.33,4614068610,31,43,66,0.00211351149938304,3219,264,12,2345,188,1255,,3445924,,,,
2021-04-26,"","Europe",40400,22.15,750809055,15,18,25,0.0461819316621723,36462,660,444,1217,423,1194,,,874801,,,
2021-04-26,"","North America",34048,29.8,588277210,15,21,39,0.0739432872708004,22017,264,3415,458,3962,3932,,,,460461,,
2021-04-26,"","Oceania",81,1.21,42376877,7,9,38,0.109017496635262,29,3,0,33,2,14,,,,,743,
2021-04-26,"","South America",1525,12.18,430461090,32,36,46,0.00182810535161359,50,0,1113,6,193,163,,,,,,834197
2021-05-03,"","Africa",382,1.2,1338832662,28,42,46,0.00627165115171814,51,216,0,42,8,65,60909,,,,,
2021-05-03,"","Asia",6077,4.62,4614068610,24,36,56,0.00176166680291537,3297,198,8,1456,87,1031,,3449574,,,,
2021-05-03,"","Europe",40186,24.54,750809055,12,17,25,0.0556014450343203,35327,576,504,2291,290,1198,,,722751,,,
2021-05-03,"","North America",28168,31.37,588277210,15,20,37,0.0700694774391108,18464,207,2928,593,3125,2851,,,,402001,,
2021-05-03,"","Oceania",68,1.37,42376877,10,14,34.25,0.121645796064401,24,0,0,36,3,5,,,,,559,
2021-05-03,"","South America",1270,13.23,430461090,27,31,43,0.00154120789438236,55,0,917,0,170,128,,,,,,824029
2021-05-10,"","Africa",321,1.38,1338832662,38,43,49,0.00576788313298474,45,145,0,29,15,87,55653,,,,,
2021-05-10,"","Asia",5765,4.95,4614068610,35,49,52,0.00199922874506002,3355,76,3,1761,36,534,,2883612,,,,
2021-05-10,"","Europe",35990,27.1,750809055,10,16,23,0.0610671738912804,29926,486,502,3619,188,1269,,,589351,,,
2021-05-10,"","North America",20374,33.09,588277210,14,20,35,0.0591454192345989,13219,128,2196,656,2361,1814,,,,344473,,
2021-05-10,"","Oceania",35,1.62,42376877,7.5,12,26.5,0.016173752310536,18,2,1,4,3,7,,,,,2164,
2021-05-10,"","South America",1624,14.73,430461090,27,29,34,0.00187722877569775,65,0,1256,6,138,159,,,,,,865105
2021-05-17,"","Africa",372,1.62,1338832662,34,41,49,0.0054876159848943,48,199,0,52,4,69,67789,,,,,
2021-05-17,"","Asia",4119,5.33,4614068610,36,42,45,0.00173706950175752,2333,70,5,1309,15,387,,2371235,,,,
2021-05-17,"","Europe",35092,29.53,750809055,10,14,22,0.0752390079908749,26406,236,592,6803,202,853,,,466407,,,
2021-05-17,"","North America",15135,35.2,588277210,15,21,34,0.0550381648853962,9445,117,1880,757,1573,1363,,,,274991,,
2021-05-17,"","Oceania",24,1.8,42376877,5,8,15.5,0.0181543116490166,5,5,0,8,4,2,,,,,1322,
2021-05-17,"","South America",1875,15.96,430461090,24,27,43,0.00194956501305429,65,1,1639,2,93,75,,,,,,961753
2021-05-24,"","Africa",428,1.8,1338832662,32,38,42,0.00603301241842042,37,144,0,190,7,50,70943,,,,,
2021-05-24,"","Asia",3354,5.94,4614068610,32,36,40,0.00180416183665181,1546,96,1,1233,14,464,,1859035,,,,
2021-05-24,"","Europe",35189,31.6,750809055,9,14,24,0.0944696501919515,21400,215,455,12405,175,539,,,372490,,,
2021-05-24,"","North America",10606,37.01,588277210,15,21,33,0.0463342391066919,6310,53,1418,968,944,913,,,,228902,,
2021-05-24,"","Oceania",66,10.34,42376877,6,8,10.75,0.055,4,1,0,10,46,5,,,,,1200,
2021-05-24,"","South America",1495,18.56,430461090,17,23,31,0.00157290438109106,33,0,1319,0,94,49,,,,,,950471
2021-05-31,"","Africa",637,2.17,1338832662,23,26,35,0.00688603982444382,53,254,0,213,13,104,92506,,,,,
2021-05-31,"","Asia",2779,6.65,4614068610,24.5,29,33,0.00202349113748745,971,30,1,1399,20,358,,1373369,,,,
2021-05-31,"","Europe",38529,33.9,750809055,10,12,20,0.12237799997459,15967,128,421,21262,84,667,,,314836,,,
2021-05-31,"","North America",8192,38.62,588277210,14,22,31,0.0432763675744209,4005,25,1412,1307,657,786,,,,189295,,
2021-05-31,"","Oceania",62,12.32,42376877,5,7.5,16.75,0.072093023255814,15,1,1,22,20,3,,,,,860,
2021-05-31,"","South America",667,20.56,430461090,24,28,37,0.000675484764122138,17,0,512,0,97,41,,,,,,987439
2021-06-07,"","Africa",371,2.32,1338832662,19,21,28,0.00304135754396032,11,108,0,181,5,66,121985,,,,,
2021-06-07,"","Asia",1118,20.98,4614068610,18,23,32,0.00103070638420272,129,19,4,744,4,218,,1084693,,,,
2021-06-07,"","Europe",29762,36.36,750809055,9,14,20,0.100993579737489,11481,144,309,17178,84,566,,,294692,,,
2021-06-07,"","North America",7303,39.91,588277210,17,24,30,0.0397342706043657,3279,9,1150,1708,452,705,,,,183796,,
2021-06-07,"","Oceania",65,14.36,42376877,6,11,21,0.0735294117647059,7,6,0,34,14,4,,,,,884,
2021-06-07,"","South America",1005,23,430461090,24,29,31,0.00103920544729781,26,0,807,3,128,41,,,,,,967085
2021-06-14,"","Africa",682,2.45,1338832662,16,19,24,0.00425542535534674,16,86,0,479,6,95,160266,,,,,
2021-06-14,"","Asia",1654,22.03,4614068610,16,25,31,0.00176036288593083,174,12,6,1098,6,358,,939579,,,,
2021-06-14,"","Europe",28279,38.5,750809055,10,12,16,0.101568476742223,6351,72,269,21097,74,416,,,278423,,,
2021-06-14,"","North America",7550,41.04,588277210,16,22,25,0.0458042127742186,2649,5,906,2862,383,745,,,,164832,,
2021-06-14,"","Oceania",68,15.54,42376877,5,8.5,20.25,0.0566194837635304,7,4,0,46,5,6,,,,,1201,
2021-06-14,"","South America",538,25.89,430461090,22,23,26,0.000548696844993141,13,0,411,7,76,31,,,,,,980505
2021-06-21,"","Africa",650,2.61,1338832662,14,19,24,0.00308599480603336,10,50,0,493,1,96,210629,,,,,
2021-06-21,"","Asia",2322,23.67,4614068610,12,22,24,0.00247523960895052,226,14,19,1708,4,351,,938091,,,,
2021-06-21,"","Europe",34282,40.53,750809055,8,10,13,0.103236958361314,4310,202,366,29044,64,296,,,332071,,,
2021-06-21,"","North America",8669,42.08,588277210,14,17,20,0.0491314573946556,2187,18,818,4550,279,817,,,,176445,,
2021-06-21,"","Oceania",176,16.89,42376877,5.75,9,11,0.0887544125063036,11,3,0,157,3,2,,,,,1983,
2021-06-21,"","South America",423,28.73,430461090,17,19,21,0.000447200241044102,11,1,278,17,95,21,,,,,,945885
2021-06-28,"","Africa",250,2.74,1338832662,7,16,17,0.000987482669679147,4,16,0,176,0,54,253169,,,,,
2021-06-28,"","Asia",1980,24.61,4614068610,17,19,22,0.00195995165452586,145,4,8,1601,0,222,,1010229,,,,
2021-06-28,"","Europe",37996,42.61,750809055,9,10,13,0.0810541562760654,2105,146,198,35311,29,207,,,468773,,,
2021-06-28,"","North America",5966,43.26,588277210,13,15,19,0.0299961788307222,770,4,295,4193,110,594,,,,198892,,
2021-06-28,"","Oceania",198,18.02,42376877,4,5,7,0.0690858339148639,20,2,0,176,0,0,,,,,2866,
2021-06-28,"","South America",258,31.31,430461090,14,17,20,0.000340064770476051,9,0,71,61,80,37,,,,,,758679
2021-07-05,"","Africa",28,2.87,1338832662,10,13,13.25,9.83951055463213e-05,0,1,0,25,0,2,284567,,,,,
2021-07-05,"","Asia",688,25.54,4614068610,10,14,15,0.000577636726949104,71,3,2,489,0,123,,1191060,,,,
2021-07-05,"","Europe",26176,44.41,750809055,8,9,11,0.0401524738654579,836,13,122,25130,13,62,,,651915,,,
2021-07-05,"","North America",2199,44.25,588277210,8,10,13,0.0080268657261229,182,0,86,1648,23,260,,,,273955,,
2021-07-05,"","Oceania",99,19.35,42376877,4,6,9,0.0197211155378486,5,0,0,93,0,1,,,,,5020,
2021-07-05,"","South America",32,35.08,430461090,12,13,13.25,4.82335953020478e-05,0,0,9,11,7,5,,,,,,663438
2021-07-12,"","Africa",0,3.06,1338832662,,,,0,0,0,0,0,0,0,282358,,,,,
2021-07-12,"","Asia",138,26.42,4614068610,5,5,6,9.86588120907089e-05,12,0,0,125,0,1,,1398760,,,,
2021-07-12,"","Europe",5927,46.03,750809055,6,7,7,0.00653897624808172,125,0,16,5769,5,12,,,906411,,,
2021-07-12,"","North America",493,45.32,588277210,6,7,7,0.00128417186543546,29,0,7,347,3,107,,,,383905,,
2021-07-12,"","Oceania",78,20.75,42376877,5,6,7,0.0099413713994392,1,0,0,73,0,4,,,,,7846,
2021-07-12,"","South America",0,38.66,430461090,,,,0,0,0,0,0,0,0,,,,,,582055
