"gisaid_collect_weekstartdate","owid_continent","Alpha","Beta","Gamma","Delta","All VOIs","Other","Sequencing as % of new cases","Submission Lag","New Weekly Cases","Sequencing as % of new cases India","Submission Lag India","New Weekly Cases India","Sequencing as % of new cases UK","Submission Lag UK","New Weekly Cases UK","Sequencing as % of new cases US","Submission Lag US","New Weekly Cases US"
NA,"Global",42.6834227039658,1.35690645248316,2.38016158164151,9.83203979392863,2.74157027008652,41.0058991978944,NA,26.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Global",42.6834227039658,1.35690645248316,2.38016158164151,9.83203979392863,2.74157027008652,41.0058991978944,NA,22,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Global",42.6834227039658,1.35690645248316,2.38016158164151,9.83203979392863,2.74157027008652,41.0058991978944,NA,29,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Global",42.6834227039658,1.35690645248316,2.38016158164151,9.83203979392863,2.74157027008652,41.0058991978944,NA,21.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Global",42.6834227039658,1.35690645248316,2.38016158164151,9.83203979392863,2.74157027008652,41.0058991978944,14.3497757847534,91,1561,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Global",42.6834227039658,1.35690645248316,2.38016158164151,9.83203979392863,2.74157027008652,41.0058991978944,1.99740950303361,84,14669,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Global",42.6834227039658,1.35690645248316,2.38016158164151,9.83203979392863,2.74157027008652,41.0058991978944,1.08112746149556,98.5,23309,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Global",42.6834227039658,1.35690645248316,2.38016158164151,9.83203979392863,2.74157027008652,41.0058991978944,0.636694386694387,106.5,30784,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Global",42.6834227039658,1.35690645248316,2.38016158164151,9.83203979392863,2.74157027008652,41.0058991978944,3.72419376602348,135,7411,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Global",42.6834227039658,1.35690645248316,2.38016158164151,9.83203979392863,2.74157027008652,41.0058991978944,9.37234042553191,102,9400,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Global",42.6834227039658,1.35690645248316,2.38016158164151,9.83203979392863,2.74157027008652,41.0058991978944,14.145891043398,95,21660,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Global",42.6834227039658,1.35690645248316,2.38016158164151,9.83203979392863,2.74157027008652,41.0058991978944,14.3836773300003,112,59206,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Global",42.6834227039658,1.35690645248316,2.38016158164151,9.83203979392863,2.74157027008652,41.0058991978944,8.32421714754547,131,175512,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Global",42.6834227039658,1.35690645248316,2.38016158164151,9.83203979392863,2.74157027008652,41.0058991978944,4.71115765373825,109,389607,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Global",42.6834227039658,1.35690645248316,2.38016158164151,9.83203979392863,2.74157027008652,41.0058991978944,3.24453009428925,84,522541,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Global",42.6834227039658,1.35690645248316,2.38016158164151,9.83203979392863,2.74157027008652,41.0058991978944,2.31009916079153,99,593178,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Global",42.6834227039658,1.35690645248316,2.38016158164151,9.83203979392863,2.74157027008652,41.0058991978944,2.01266415112857,94,570587,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Global",42.6834227039658,1.35690645248316,2.38016158164151,9.83203979392863,2.74157027008652,41.0058991978944,1.74336034373378,92,554848,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Global",42.6834227039658,1.35690645248316,2.38016158164151,9.83203979392863,2.74157027008652,41.0058991978944,1.57809895904483,104,549015,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Global",42.6834227039658,1.35690645248316,2.38016158164151,9.83203979392863,2.74157027008652,41.0058991978944,1.142939839447,113,587345,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Global",42.6834227039658,1.35690645248316,2.38016158164151,9.83203979392863,2.74157027008652,41.0058991978944,1.06607398478113,127,610558,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Global",42.6834227039658,1.35690645248316,2.38016158164151,9.83203979392863,2.74157027008652,41.0058991978944,0.823288696854871,116,699876,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Global",42.6834227039658,1.35690645248316,2.38016158164151,9.83203979392863,2.74157027008652,41.0058991978944,0.565200418318813,102,765923,NA,NA,NA,NA,NA,NA,NA,NA,NA
